"/usr/bin/git is used if left empty","Si vide, /usr/bin/git est utilisé"
"Content of README.md is take from extension description in Package Info tab.","Le contenu du fichier README.md est celui du champ Description de l'onglet Package Info."
"Create .tgz archive","Créer archive .tgz"
"Create Modman file","Créer le fichier modman"
"Create package XML file","Créer le fichier de package XML"
"Create README.md file","Créer fichier README.md"
"Enable Module Export","Activer Modex"
"Extension has been exported with Modex","L'extension a bien été exportée avec Modex"
"Extension has been pushed","L'extension a été poussée avec succès"
"Extension has not been pushed: %s","L'extension n'a pas été poussée : %s"
"Force Push to Remote Repository","Pousser sur le repository distant"
"Full path","Chemin"
"Full path to Git bin","Chemin complet vers binaire de Git"
"Full server path. Server user for Magento instance must have write permissions.","Chemin complet sur serveur. L'utilisateur associé à l'instance Magento doit avoir les droits d'écriture."
"Git Commit Message","Message de commit"
"Git Remote Branch","Branche distante sur repository"
"Git Remote Name (ie: origin)","Nom du repository (ex: origin)"
"Git Remote Password","Mot de passe du repository"
"Git Remote Url (http or https)","Url du repository (http ou https)"
"Git Remote Username","Username du repository"
"master is used if left empty","master est utilisée si vide"
"Module Export (Modex)","Export (Modex)"
"Module Export Information","Information"
"Password is saved. Retype and save extension to update.","Mot de passe enregistré. Saisir nouveau mot de passe puis enregistrer l'extension pour le mettre à jour."
"Please set Modex data","Please set Modex data"
"Please specify a Modex path for export","Please specify a Modex path for export"
"Release Notes are used if left empty","Les Release Notes sont utilisées si vide"
"There was a problem saving files with Modex","Il y a eu un problème avec l'export Modex"
"There was a problem with Git: %s","Il y a eu un problème avec Git : %s"
"Use Git VCS","Versionner avec Git"
"Use Remote Repository","Utiliser repository distant"
"Version Control System","Versionning (Git)"
